##  edited 08/09/2011  imperically determined concentricities for FOPS 24 and 240, verified on sky
##  edited 08/09/2011  reinstated fiber 0 39  Charles Corson
##  edited 12/17/2009  remove fiber 226, spinning head
##  edited 10/17/2005  remove fiber 239, broken
##  edited 04/17/2005  remove fiber 19, bent.
##  edited 01/24/05  remove 14, 83  bent
##  edited 01/21/05 remove 182, 185, 262  bent
##  edited 01/13/05 remove 68, bent
##  edited Oct 25/04 remove 283********************
##  edited 03/02/04 remove 250
##  edited 11/2003 remove 167
##  edited 11/2003 remove FOP 0
##  Last edited 2/2002 remove 256, 259, 263, 265, 271, 277, 264
##  Last edited 3/2002 remove 257, 260, 269
## re-activated 175, 178, 50, 46, and 208   12/2002 
##  Last Edit 11/99 
##      Concentricities file Version 6.1	6/1/98 
##  v6.1 Fiber 53 removed from service - SCB 6/1/98
## -----------------------------------------------
#        Fiber 242 removed from service -CC 11/99
#   v6.1 Fiber 53 removed from service - SCB 6/1/98
#   v6.0 Remeasured after installation of pivot fixtures - SCB 4/1/96
#   v5.2 Includes photometry fibers - SCB 3/4/96
#   v5.1 After tightening gripper and quick pivot fix - SCB 1/26/96
#   v4.1 Corrected gap position in blue cable from slit 74 to slit 75
#   v4	Modified Red cable concentricities from positioning tests - SCB 12/29/95
#   v3	Modified Blue slit positions to same scheme as Red cable - SCB 11/9/95
#
#	Lines beginning with '#' are comments
#       Line  beginning with '##' are comments printed at run time
#
#
#
#  CABLE DEFINITIONS CABLE DEFINITIONS CABLE DEFINITIONS CABLE DEFINITIONS 
#
#  Format -- Cable definations 
#
#         (field)      (description)
#
#           CABLE    =  Cable idenifier
#                       (once character, upper case)
#
#           LABELS   =  Cable labels
#			A character, either 'A' or 'N'. Affects references
#			to slit position inquiries.  
#			'A' means that fibers are identified with alpha
#			characters A-Z  (limit of 26 fibers in a cable)
#			'N' means that integers are used to reference
#			them.  (alpha, no space).  For Alpha references,
#			a slit position of 1 maps to 'A', 2 maps to 'B', etc.
#
#           NAME     =  Cable name
#                       (alpha, no space, case insensitive)
#
#           DESCR    =  Description, not used by code
#                       (alpha, spaces are ok)
#
#	NOTE: A cable doesn't exist if it's not listed below!
#
#CABLE  LABELS  SELECT? NAME    DESCR

F       A       N       FOPS    Field orientation Probes
R       N       Y       RED     Red cable
B       N       Y       BLUE    Blue cable
P       N       Y       PHOT    Photometry cable
S       N       N       SPARE	Spare cable
Z       N       N       NULL    Nonexistant cable (missing fibers should belong to this)

#  FIBER DEFINITIONS FIBER DEFINITIONS FIBER DEFINITIONS FIBER DEFINITIONS 
#
#
#  Format -- fiber entries
#
#         (field)      (description)
#
#           FIB    =  fiber # on plate
#                     (integer, zero indexed )
#
#           SLIT   =  slit position 
#                     (positive integer)
#
#           C      =  cable membership
#                     (single character)
#                     (see cable definitions above)
#
#           F      =  special flags
#                     (single character)
#
#                     A = Active fiber 
#                     B = Broken fiber 
#                     L = Locked fiber 
#                     Z = Nonexistant Fiber
#
#           R      =  Concentricity offset 
#                     (floating point)
#                     (encoder units)
#
#           THETA  =  Concentricity angle 
#                     (floating point)
#                     (radians)
#
#FIB    SLIT    C       F       R       THETA

  0         0   F  A    11.9  2.3377
  1        66   R  A    16.2  0.5254
  2        53   B  A     9.5  0.2179
  3         0   Z  Z     0.0  0.0000
  4        32   R  A     9.8  0.8762
  5        47   B  A    18.8 -0.6238
  6         1   Z  Z     0.0  0.0000
  7        10   R  A    26.0  0.6500
  8        51   B  A     3.9  2.6144
  9         3   Z  Z     0.0  0.0000
 10        40   R  A    14.2  0.6179
 11        82   B  A    18.4  2.5060
 12         2   Z  Z   125.0 -0.9599
 13        65   R  A     6.8  0.8724
 14        22   B  B    18.2  2.4233
 15         4   Z  Z     0.0  0.0000
 16         5   R  A    16.7  0.3162
 17        72   B  A     7.4 -0.1092
 18         0   Z  Z     0.0  0.0000
 19        19   R  B     8.7  1.4288
 20        19   B  A    21.6  0.2532
 21         0   Z  Z     0.0  0.0000
 22        64   R  A    21.9  0.8620
 23        83   B  A    14.1  0.0083
 24         1   F  A     110  0.349
 25        42   R  A     3.2 -1.4093
 26        56   B  A    19.0  2.1208
 27         0   Z  Z     0.0  0.0000
 28        88   R  A    12.6  1.1496
 29        67   B  A    11.4  0.1227
 30         0   Z  Z     0.0  0.0000
 31        63   R  A    12.8  1.3323
 32        39   B  A    12.7  2.2235
 33         0   Z  Z     0.0  0.0000
 34        13   R  A     9.4  0.3441
 35        41   B  A    14.7  0.1833
 36         0   Z  Z     0.0  0.0000
 37        26   R  A     6.8  1.7138
 38        94   B  A     6.0  2.1716
 39         0   Z  A     0.0  0.0000
 40       100   R  A    20.9  1.0019
 41        71   B  A    20.9  0.0840
 42         0   Z  Z     0.0  0.0000
 43        43   R  A    24.2  0.4564
 44         5   B  A    13.3  0.9152
 45         0   Z  Z     0.0  0.0000
 46        99   R  A    16.2  2.5390
 47        93   B  A    31.6  2.7060
 48         2   F  A    10.3  0.8741
 49        76   R  A     6.2 -2.0343
 50        84   B  B    17.6 -2.4961
 51         0   Z  Z     0.0  0.0000
 52        38   R  A    11.7 -1.7597
 53        98   B  B     8.2 -1.8644
 54         0   Z  Z     0.0  0.0000
 55        52   R  A    12.1 -1.2720
 56        64   B  B    25.7 -1.7220
 57         0   Z  Z     0.0  0.0000
 58        67   R  A    19.5  0.2092
 59        27   B  A    16.7  2.5866
 60         0   Z  Z     0.0  0.0000
 61         2   R  A    15.1  0.0260
 62        42   B  A    11.7  2.0532
 63         0   Z  Z     0.0  0.0000
 64        90   R  A     4.0  1.0947
 65        70   B  A    17.0  1.3901
 66         0   Z  Z     0.0  0.0000
 67        59   R  A    12.7  0.6505
 68        65   B  B    17.5  2.9135
 69         0   Z  Z     0.0  0.0000
 70        14   R  A     7.6  1.5169
 71        90   B  A    27.6 -0.8345
 72         3   F  A    12.7 -1.5561
 73        61   R  A    16.4  1.9834
 74        50   B  A    12.6  0.6138
 75         0   Z  Z     0.0  0.0000
